image_name,# of ecDNA (DAPI),# of ecDNA (green),# of ecDNA (red),# of ecDNA (DAPI and green),# of ecDNA (DAPI and red),# of ecDNA (red and green),# of ecDNA (DAPI and red and green),# of HSR (red),# of HSR (green)
2418.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2419.tif,"(0, 0.0)","(0, 0.0)","(2, 230)",0.0,0.0,0.0,0.0,0.0,0.0
2420.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2421.tif,"(1, 33)","(1, 1)","(2, 54)",0.0,0.0,0.0,0.0,1.0,1.0
2424.tif,"(0, 0.0)","(0, 0.0)","(1, 6)",0.0,0.0,0.0,0.0,0.0,0.0
2425.tif,"(4, 120)","(0, 0.0)","(2, 89)",0.0,0.0,0.0,0.0,1.0,0.0
2426.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2427.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2428.tif,"(0, 0.0)","(0, 0.0)","(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
2429.tif,"(2, 137)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2430.tif,"(4, 103)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2431.tif,"(6, 149)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2433.tif,"(3, 86)","(0, 0.0)","(1, 4)",0.0,0.0,0.0,0.0,0.0,0.0
2434.tif,"(3, 170)","(0, 0.0)","(2, 76)",0.0,0.0,0.0,0.0,0.0,0.0
2435.tif,"(2, 92)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2436.tif,"(0, 0.0)","(1, 10)","(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
2437.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2438.tif,"(2, 75)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2439.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2442.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2445.tif,"(0, 0.0)","(0, 0.0)","(1, 25)",0.0,0.0,0.0,0.0,1.0,0.0
2446.tif,"(0, 0.0)","(0, 0.0)","(1, 2)",0.0,0.0,0.0,0.0,1.0,0.0
2447.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2449.tif,"(0, 0.0)","(0, 0.0)","(1, 10)",0.0,0.0,0.0,0.0,1.0,0.0
2450.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2451.tif,"(0, 0.0)","(1, 8)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2452.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2453.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2454.tif,"(1, 48)","(0, 0.0)","(1, 4)",0.0,0.0,0.0,0.0,0.0,0.0
2455.tif,"(7, 223)","(1, 1)","(0, 0.0)",0.0,0.0,0.0,0.0,1.0,2.0
2456.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2457.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2458.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2459.tif,"(2, 51)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2460.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2461.tif,"(0, 0.0)","(0, 0.0)","(1, 23)",0.0,0.0,0.0,0.0,0.0,0.0
2464.tif,"(1, 40)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2465.tif,"(3, 122)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2466.tif,"(0, 0.0)","(0, 0.0)","(4, 98)",0.0,0.0,0.0,0.0,4.0,0.0
2468.tif,"(0, 0.0)","(1, 13)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2469.tif,"(2, 34)","(0, 0.0)","(2, 48)",0.0,0.0,0.0,0.0,1.0,0.0
2470.tif,"(2, 78)","(0, 0.0)","(1, 40)",0.0,0.0,0.0,0.0,2.0,1.0
2471.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2472.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2473.tif,"(1, 16)","(1, 5)","(2, 14)",0.0,0.0,0.0,0.0,1.0,1.0
2474.tif,"(2, 81)","(0, 0.0)","(3, 61)",0.0,0.0,0.0,0.0,3.0,0.0
2476.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2477.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2480.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2481.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2482.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2484.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2485.tif,"(1, 16)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2488.tif,"(0, 0.0)","(0, 0.0)","(2, 13)",0.0,0.0,0.0,0.0,1.0,0.0
2489.tif,"(1, 29)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2490.tif,"(0, 0.0)","(0, 0.0)","(2, 25)",0.0,0.0,0.0,0.0,2.0,0.0
2491.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2492.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2493.tif,"(1, 25)","(1, 8)","(1, 10)",0.0,0.0,0.0,0.0,3.0,2.0
2494.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2495.tif,"(5, 152)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2497.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2498.tif,"(1, 14)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2499.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2501.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2502.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2504.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2505.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2506.tif,"(2, 46)","(0, 0.0)","(1, 5)",0.0,0.0,0.0,0.0,1.0,0.0
2508.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2509.tif,"(1, 47)","(0, 0.0)","(1, 14)",0.0,0.0,0.0,0.0,1.0,0.0
2510.tif,"(2, 69)","(0, 0.0)","(2, 71)",0.0,0.0,0.0,0.0,2.0,1.0
2511.tif,"(1, 16)","(0, 0.0)","(1, 10)",0.0,0.0,0.0,0.0,1.0,1.0
2512.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2513.tif,"(0, 0.0)","(0, 0.0)","(3, 25)",0.0,0.0,0.0,0.0,2.0,0.0
2514.tif,"(0, 0.0)","(0, 0.0)","(4, 37)",0.0,0.0,0.0,0.0,1.0,0.0
2515.tif,"(1, 17)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2517.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2518.tif,"(1, 93)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2521.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
