image_name,# of ecDNA (DAPI),# of ecDNA (green),# of ecDNA (red),# of ecDNA (DAPI and green),# of ecDNA (DAPI and red),# of ecDNA (red and green),# of ecDNA (DAPI and red and green),# of HSR (red),# of HSR (green)
6350.tif,"(4, 151)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,1.0,1.0
6351.tif,"(10, 426)","(1, 3)","(0, 0.0)",1.0,0.0,0.0,0.0,0.0,0.0
6353.tif,"(3, 47)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,1.0,1.0
6354.tif,"(6, 146)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6369.tif,"(9, 436)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6370.tif,"(34, 1900)","(0, 0.0)","(1, 6)",0.0,0.0,0.0,0.0,1.0,0.0
6371.tif,"(7, 239)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6373.tif,"(42, 2582)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6374.tif,"(77, 4179)","(0, 0.0)","(2, 27)",0.0,1.0,0.0,0.0,1.0,0.0
6375.tif,"(7, 187)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6376.tif,"(1, 22)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6377.tif,"(1, 50)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6378.tif,"(50, 1704)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6379.tif,"(2, 51)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6386.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6387.tif,"(5, 111)","(0, 0.0)","(3, 25)",0.0,0.0,0.0,0.0,0.0,0.0
6389.tif,"(30, 791)","(0, 0.0)","(1, 49)",0.0,1.0,0.0,0.0,1.0,0.0
6390.tif,"(25, 846)","(0, 0.0)","(1, 4)",0.0,0.0,0.0,0.0,0.0,0.0
6391.tif,"(6, 129)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6392.tif,"(8, 254)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6393.tif,"(7, 187)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6394.tif,"(45, 1685)","(0, 0.0)","(2, 60)",0.0,2.0,0.0,0.0,1.0,0.0
6395.tif,"(8, 211)","(0, 0.0)","(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
6397.tif,"(2, 38)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6400.tif,"(5, 244)","(0, 0.0)","(1, 22)",0.0,0.0,0.0,0.0,0.0,0.0
6401.tif,"(4, 45)","(0, 0.0)","(1, 177)",0.0,0.0,0.0,0.0,1.0,0.0
6409.tif,"(3, 127)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6410.tif,"(49, 2105)","(0, 0.0)","(1, 9)",0.0,0.0,0.0,0.0,1.0,0.0
6414.tif,"(34, 1663)","(0, 0.0)","(2, 50)",0.0,1.0,0.0,0.0,0.0,0.0
6415.tif,"(1, 27)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6418.tif,"(5, 132)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6419.tif,"(5, 150)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6420.tif,"(3, 62)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6421.tif,"(8, 526)","(0, 0.0)","(2, 59)",0.0,1.0,0.0,0.0,1.0,0.0
6422.tif,"(5, 115)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6423.tif,"(2, 52)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6424.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6425.tif,"(2, 76)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6426.tif,"(4, 185)","(0, 0.0)","(2, 12)",0.0,1.0,0.0,0.0,0.0,0.0
6427.tif,"(2, 30)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6428.tif,"(1, 20)","(0, 0.0)","(3, 21)",0.0,0.0,0.0,0.0,0.0,0.0
6429.tif,"(3, 108)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6430.tif,"(33, 1602)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6431.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6432.tif,"(2, 54)","(0, 0.0)","(1, 20)",0.0,0.0,0.0,0.0,0.0,0.0
6433.tif,"(7, 166)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6434.tif,"(19, 909)","(0, 0.0)","(6, 61)",0.0,1.0,0.0,0.0,2.0,0.0
6435.tif,"(4, 239)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6437.tif,"(13, 449)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6438.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6439.tif,"(27, 1514)","(0, 0.0)","(1, 11)",0.0,1.0,0.0,0.0,0.0,0.0
6440.tif,"(1, 52)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6441.tif,"(5, 180)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6442.tif,"(2, 43)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6444.tif,"(16, 756)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,1.0,0.0
6445.tif,"(1, 34)","(0, 0.0)","(1, 74)",0.0,0.0,0.0,0.0,0.0,0.0
6448.tif,"(1, 36)","(0, 0.0)","(1, 258)",0.0,0.0,0.0,0.0,0.0,0.0
6449.tif,"(15, 585)","(0, 0.0)","(1, 44)",0.0,1.0,0.0,0.0,1.0,0.0
6450.tif,"(3, 59)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6451.tif,"(7, 332)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6452.tif,"(2, 53)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6453.tif,"(27, 1288)","(0, 0.0)","(3, 68)",0.0,3.0,0.0,0.0,0.0,0.0
6454.tif,"(19, 1030)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6455.tif,"(1, 28)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6456.tif,"(4, 92)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6457.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6458.tif,"(7, 225)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6459.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6460.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6461.tif,"(25, 740)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6464.tif,"(3, 48)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6468.tif,"(0, 0.0)","(0, 0.0)","(1, 98)",0.0,0.0,0.0,0.0,0.0,0.0
6469.tif,"(24, 913)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6470.tif,"(6, 155)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6471.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6472.tif,"(7, 257)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6473.tif,"(23, 1060)","(0, 0.0)","(4, 132)",0.0,2.0,0.0,0.0,3.0,0.0
6474.tif,"(7, 215)","(0, 0.0)","(1, 59)",0.0,1.0,0.0,0.0,2.0,0.0
6475.tif,"(3, 111)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6477.tif,"(22, 1014)","(0, 0.0)","(5, 97)",0.0,0.0,0.0,0.0,2.0,0.0
6478.tif,"(45, 1857)","(0, 0.0)","(3, 71)",0.0,0.0,0.0,0.0,1.0,0.0
6479.tif,"(35, 1101)","(0, 0.0)","(3, 54)",0.0,0.0,0.0,0.0,1.0,0.0
6480.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6481.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6482.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6483.tif,"(17, 406)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6484.tif,"(4, 276)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6485.tif,"(9, 243)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6486.tif,"(1, 16)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6489.tif,"(40, 1957)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6490.tif,"(16, 317)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6492.tif,"(7, 145)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6493.tif,"(27, 1249)","(0, 0.0)","(3, 8)",0.0,0.0,0.0,0.0,1.0,0.0
6494.tif,"(63, 2241)","(0, 0.0)","(2, 16)",0.0,1.0,0.0,0.0,1.0,0.0
6495.tif,"(3, 105)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6496.tif,"(8, 175)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6497.tif,"(8, 170)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6499.tif,"(4, 118)","(0, 0.0)","(2, 108)",0.0,0.0,0.0,0.0,0.0,0.0
6504.tif,"(14, 409)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6505.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6508.tif,"(7, 257)","(0, 0.0)","(4, 44)",0.0,0.0,0.0,0.0,0.0,0.0
6509.tif,"(39, 1969)","(0, 0.0)","(3, 29)",0.0,1.0,0.0,0.0,1.0,0.0
6510.tif,"(15, 912)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6512.tif,"(2, 56)","(0, 0.0)","(1, 38)",0.0,0.0,0.0,0.0,1.0,0.0
6513.tif,"(32, 1417)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6514.tif,"(25, 1431)","(0, 0.0)","(1, 19)",0.0,0.0,0.0,0.0,1.0,0.0
6515.tif,"(21, 1214)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6517.tif,"(4, 149)","(0, 0.0)","(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
6518.tif,"(1, 43)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6519.tif,"(11, 706)","(0, 0.0)","(1, 55)",0.0,1.0,0.0,0.0,0.0,0.0
6523.tif,"(4, 110)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6527.tif,"(15, 504)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6528.tif,"(10, 335)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6529.tif,"(24, 1303)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6530.tif,"(59, 3065)","(0, 0.0)","(6, 45)",0.0,2.0,0.0,0.0,1.0,0.0
6531.tif,"(22, 805)","(0, 0.0)","(1, 176)",0.0,0.0,0.0,0.0,1.0,0.0
6532.tif,"(48, 1978)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,2.0,0.0
6533.tif,"(23, 1068)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6534.tif,"(21, 1153)","(0, 0.0)","(4, 68)",0.0,2.0,0.0,0.0,1.0,0.0
6535.tif,"(5, 245)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6536.tif,"(37, 1507)","(0, 0.0)","(2, 19)",0.0,0.0,0.0,0.0,1.0,0.0
6537.tif,"(4, 153)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6538.tif,"(17, 560)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6539.tif,"(3, 132)","(0, 0.0)","(3, 57)",0.0,1.0,0.0,0.0,0.0,0.0
6540.tif,"(3, 86)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6541.tif,"(1, 22)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6542.tif,"(0, 0.0)","(0, 0.0)","(2, 40)",0.0,0.0,0.0,0.0,0.0,0.0
6544.tif,"(1, 21)","(0, 0.0)","(1, 3)",0.0,0.0,0.0,0.0,0.0,0.0
6545.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6546.tif,"(1, 36)","(0, 0.0)","(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
6547.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6548.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6549.tif,"(12, 417)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6550.tif,"(55, 2741)","(0, 0.0)","(3, 148)",0.0,1.0,0.0,0.0,2.0,0.0
6551.tif,"(0, 0.0)","(0, 0.0)","(1, 5)",0.0,0.0,0.0,0.0,0.0,0.0
6553.tif,"(16, 525)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6554.tif,"(57, 3175)","(0, 0.0)","(1, 131)",0.0,1.0,0.0,0.0,0.0,0.0
6555.tif,"(1, 15)","(0, 0.0)","(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
6557.tif,"(7, 363)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6558.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6559.tif,"(2, 59)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6564.tif,"(1, 81)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6566.tif,"(2, 95)","(0, 0.0)","(2, 91)",0.0,1.0,0.0,0.0,0.0,0.0
6569.tif,"(19, 1552)","(0, 0.0)","(14, 1107)",0.0,14.0,0.0,0.0,0.0,0.0
6570.tif,"(21, 1792)","(0, 0.0)","(28, 1639)",0.0,19.0,0.0,0.0,2.0,0.0
6571.tif,"(3, 161)","(0, 0.0)","(5, 164)",0.0,2.0,0.0,0.0,1.0,0.0
6573.tif,"(5, 134)","(0, 0.0)","(1, 29)",0.0,0.0,0.0,0.0,0.0,0.0
6574.tif,"(3, 233)","(0, 0.0)","(5, 185)",0.0,3.0,0.0,0.0,1.0,0.0
6575.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6578.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6579.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6580.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6584.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6588.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6589.tif,"(6, 252)","(0, 0.0)","(6, 152)",0.0,6.0,0.0,0.0,0.0,0.0
6590.tif,"(27, 1615)","(0, 0.0)","(22, 443)",0.0,18.0,0.0,0.0,0.0,0.0
6592.tif,"(0, 0.0)","(0, 0.0)","(1, 2)",0.0,0.0,0.0,0.0,0.0,0.0
6593.tif,"(6, 342)","(0, 0.0)","(12, 157)",0.0,6.0,0.0,0.0,0.0,0.0
6594.tif,"(53, 3193)","(0, 0.0)","(40, 490)",0.0,29.0,0.0,0.0,1.0,0.0
6595.tif,"(0, 0.0)","(0, 0.0)","(2, 6)",0.0,0.0,0.0,0.0,0.0,0.0
6598.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6599.tif,"(3, 70)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6602.tif,"(1, 29)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6603.tif,"(2, 76)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6605.tif,"(5, 219)","(0, 0.0)","(3, 140)",0.0,2.0,0.0,0.0,0.0,0.0
6606.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6608.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6609.tif,"(15, 931)","(0, 0.0)","(10, 243)",0.0,9.0,0.0,0.0,3.0,0.0
6610.tif,"(13, 1075)","(0, 0.0)","(16, 382)",0.0,11.0,0.0,0.0,1.0,0.0
6612.tif,"(0, 0.0)","(0, 0.0)","(1, 5)",0.0,0.0,0.0,0.0,0.0,0.0
6613.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6614.tif,"(3, 143)","(0, 0.0)","(2, 81)",0.0,2.0,0.0,0.0,0.0,0.0
6616.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6617.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6620.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6621.tif,"(0, 0.0)","(0, 0.0)","(2, 13)",0.0,0.0,0.0,0.0,0.0,0.0
6624.tif,"(0, 0.0)","(0, 0.0)","(1, 4)",0.0,0.0,0.0,0.0,0.0,0.0
6625.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6628.tif,"(1, 48)","(0, 0.0)","(6, 504)",0.0,0.0,0.0,0.0,0.0,0.0
6629.tif,"(33, 1791)","(0, 0.0)","(30, 460)",0.0,23.0,0.0,0.0,0.0,0.0
6630.tif,"(21, 1342)","(0, 0.0)","(19, 479)",0.0,17.0,0.0,0.0,0.0,0.0
6632.tif,"(9, 266)","(0, 0.0)","(2, 6)",0.0,2.0,0.0,0.0,0.0,0.0
6633.tif,"(50, 3167)","(0, 0.0)","(52, 713)",0.0,40.0,0.0,0.0,2.0,0.0
6634.tif,"(24, 1367)","(0, 0.0)","(24, 347)",0.0,17.0,0.0,0.0,1.0,0.0
6635.tif,"(3, 97)","(0, 0.0)","(3, 34)",0.0,3.0,0.0,0.0,0.0,0.0
6636.tif,"(4, 166)","(0, 0.0)","(2, 41)",0.0,2.0,0.0,0.0,0.0,0.0
6637.tif,"(15, 826)","(0, 0.0)","(11, 176)",0.0,8.0,0.0,0.0,0.0,0.0
6638.tif,"(2, 64)","(0, 0.0)","(5, 92)",0.0,2.0,0.0,0.0,0.0,0.0
6639.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6640.tif,"(9, 692)","(0, 0.0)","(14, 415)",0.0,3.0,0.0,0.0,2.0,0.0
6642.tif,"(0, 0.0)","(0, 0.0)","(2, 7)",0.0,0.0,0.0,0.0,0.0,0.0
6643.tif,"(5, 323)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6644.tif,"(0, 0.0)","(0, 0.0)","(3, 207)",0.0,0.0,0.0,0.0,0.0,0.0
6645.tif,"(1, 36)","(0, 0.0)","(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
6646.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6647.tif,"(5, 225)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6650.tif,"(26, 1692)","(0, 0.0)","(22, 288)",0.0,17.0,0.0,0.0,1.0,0.0
6654.tif,"(14, 620)","(0, 0.0)","(15, 122)",0.0,10.0,0.0,0.0,0.0,0.0
6663.tif,"(0, 0.0)","(0, 0.0)","(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
6664.tif,"(2, 62)","(0, 0.0)","(1, 26)",0.0,0.0,0.0,0.0,0.0,0.0
6668.tif,"(1, 14)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6669.tif,"(20, 1300)","(0, 0.0)","(27, 784)",0.0,17.0,0.0,0.0,5.0,0.0
6670.tif,"(13, 475)","(0, 0.0)","(18, 235)",0.0,10.0,0.0,0.0,1.0,0.0
6671.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6673.tif,"(13, 683)","(0, 0.0)","(12, 478)",0.0,9.0,0.0,0.0,2.0,0.0
6674.tif,"(16, 739)","(0, 0.0)","(7, 292)",0.0,7.0,0.0,0.0,1.0,0.0
6676.tif,"(2, 40)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6677.tif,"(2, 37)","(0, 0.0)","(3, 33)",0.0,0.0,0.0,0.0,0.0,0.0
6678.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6679.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6682.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6689.tif,"(13, 944)","(0, 0.0)","(16, 698)",0.0,13.0,0.0,0.0,1.0,0.0
6690.tif,"(28, 1884)","(0, 0.0)","(33, 1609)",0.0,24.0,0.0,0.0,3.0,0.0
6693.tif,"(1, 34)","(0, 0.0)","(7, 160)",0.0,1.0,0.0,0.0,0.0,0.0
6694.tif,"(9, 312)","(0, 0.0)","(15, 882)",0.0,4.0,0.0,0.0,2.0,0.0
6696.tif,"(5, 192)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6697.tif,"(0, 0.0)","(0, 0.0)","(5, 169)",0.0,0.0,0.0,0.0,0.0,0.0
6698.tif,"(1, 61)","(0, 0.0)","(2, 47)",0.0,1.0,0.0,0.0,0.0,0.0
6707.tif,"(0, 0.0)","(0, 0.0)","(2, 11)",0.0,0.0,0.0,0.0,0.0,0.0
6709.tif,"(41, 2689)","(0, 0.0)","(54, 745)",0.0,32.0,0.0,0.0,1.0,0.0
6710.tif,"(63, 3872)","(0, 0.0)","(73, 1055)",0.0,49.0,0.0,0.0,2.0,0.0
6711.tif,"(5, 343)","(0, 0.0)","(8, 166)",0.0,5.0,0.0,0.0,0.0,0.0
6712.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6713.tif,"(15, 788)","(0, 0.0)","(19, 270)",0.0,15.0,0.0,0.0,0.0,0.0
6714.tif,"(32, 2238)","(0, 0.0)","(37, 528)",0.0,27.0,0.0,0.0,0.0,0.0
6719.tif,"(1, 32)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6725.tif,"(1, 16)","(0, 0.0)","(1, 5)",0.0,1.0,0.0,0.0,0.0,0.0
6729.tif,"(15, 817)","(0, 0.0)","(18, 408)",0.0,14.0,0.0,0.0,0.0,0.0
6730.tif,"(7, 384)","(0, 0.0)","(8, 125)",0.0,5.0,0.0,0.0,0.0,0.0
6733.tif,"(5, 134)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6734.tif,"(5, 136)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6737.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6738.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6740.tif,"(0, 0.0)","(0, 0.0)","(7, 95)",0.0,0.0,0.0,0.0,0.0,0.0
6741.tif,"(0, 0.0)","(0, 0.0)","(2, 48)",0.0,0.0,0.0,0.0,0.0,0.0
6742.tif,"(4, 272)","(0, 0.0)","(2, 23)",0.0,0.0,0.0,0.0,0.0,0.0
6743.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6744.tif,"(0, 0.0)","(0, 0.0)","(12, 33)",0.0,0.0,0.0,0.0,1.0,0.0
6745.tif,"(1, 23)","(0, 0.0)","(9, 145)",0.0,0.0,0.0,0.0,0.0,0.0
6746.tif,"(0, 0.0)","(0, 0.0)","(13, 121)",0.0,0.0,0.0,0.0,0.0,0.0
6748.tif,"(0, 0.0)","(0, 0.0)","(1, 2)",0.0,0.0,0.0,0.0,0.0,0.0
6749.tif,"(1, 21)","(0, 0.0)","(3, 32)",0.0,0.0,0.0,0.0,1.0,0.0
6750.tif,"(7, 473)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6753.tif,"(2, 115)","(0, 0.0)","(2, 13)",0.0,0.0,0.0,0.0,1.0,0.0
6754.tif,"(8, 657)","(0, 0.0)","(7, 317)",0.0,0.0,0.0,0.0,0.0,0.0
6755.tif,"(3, 246)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
6757.tif,"(0, 0.0)","(0, 0.0)","(2, 17)",0.0,0.0,0.0,0.0,0.0,0.0
6758.tif,"(0, 0.0)","(0, 0.0)","(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
6762.tif,"(3, 180)","(0, 0.0)","(2, 3)",0.0,0.0,0.0,0.0,0.0,0.0
